,E.name,E.countries,total
23250,"PLANET ENTERPRISES, INC.",United States,2
23251,PROTOSCAR ADVANCED DESIGN MANAGEMENT LIMITED,Turkey,2
23252,OWNFAIR INC.,Switzerland,2
23253,GASELEE INVESTMENTS CORP.,Liechtenstein,2
23254,EUROPEAN TOBACCO INC.,Switzerland,1
23255,ARIL S.A.,Switzerland,1
23256,JENLICK TRADING LIMITED,Guatemala,4
23257,WASDIN ENTERPRISES LIMITED,Guatemala,4
23258,VERNON FINANCE SERVICES CORP.,Guatemala,2
23259,KORD HOLDINGS INC.,Jersey,2
23260,LEIGHAM S.A.,United Kingdom,4
23261,MARETT PROPERTY INC.,United Kingdom,2
23262,IERISSOS CORPORATION,Monaco,1
23263,MATERVILLE CORPORATION,Luxembourg,4
23264,GUALMACAL INVEST S.A.,Uruguay,4
23265,ANCABELA S.A.,Chile,2
23266,LINDSAY CONTRACTORS CORPORATION,Switzerland,1
23267,SECOSA FINANCE HOLDING LTD,Cyprus,1
23268,STIRGATE BUSINESS CORPORATION,Greece,10
23269,AIRBORNE INC.,Ireland,2
23270,COMPAÑIA SKYROS S.A.,Uruguay,1
23271,"SYCUR, S.A.",Switzerland,1
23272,GALAXY PROPERTIES INTERNATIONAL INC.,Jordan,2
23273,PHILEXA FINANCE LIMITED,United Kingdom,2
23274,SIGMA DELTA S.A.,Germany,2
23275,GLADSTONE CAPITAL S.A.,Switzerland,3
23276,MEDSEARCH S.A.,Switzerland,1
23277,CELLAMAR INTERNATIONAL CORP.,Switzerland,4
23278,JETTLIN INTERNATIONAL S.A.,Switzerland,1
23279,ALAMAR ENTERPRISES S.A.,Guatemala,4
23280,ARTVIN CORPORATION,Switzerland,1
23281,VITON BUSINESS S.A.,Uruguay,4
23282,ALBION REAL ESTATE INCORPORATED,Switzerland,1
23283,PARCICOM CAPITAL S.A.,Switzerland,1
23284,BONNELL INTERNATIONAL S.A.,Monaco,1
23285,"W.A. TRADE & INVESTMENT, INC.",Switzerland,2
23286,"ERASMUS EQUITIES, INC.",Switzerland,2
23287,MONDALE S.A.,Switzerland,1
23288,DONOLLY RESOURCES CORP.,Panama,4
23289,PIMSA HOLDINGS S.A.,Greece,3
23290,CAMELIA TRADING GROUP S.A.,British Virgin Islands,4
23291,DEMCO ASSETS S.A.,Panama,4
23292,SEACLIFF INVESTMENT TRADING INC.,Monaco,1
23293,PERELLE OVERSEAS CORP.,Colombia,2
23294,SUNART S. A.,Jersey,2
23295,MABUL PROPERTIES CORP.,United Kingdom,2
23296,WILLOW OVERSEAS ESTATES CORPORATION,Switzerland,1
23297,NAGOYA TRADE INC.,Germany,1
23298,RHODES ADVISORS INC.,Switzerland,2
23299,EOLE HOLDINGS INC.,Switzerland,1
23300,ISO-TECH INTERNATIONAL INVESTMENTS S.A.,Luxembourg,2
23301,BAC MANAGEMENT LIMITED,Switzerland,3
23302,ANDERMATT OVERSEAS INC.,Brazil,1
23303,SKY VENTURES LTD.,Jersey,2
23304,Scarlett Nominees  Limited,Isle of Man,2
23305,LEO INVESTMENTS HOLDINGS S.A.,Malta,2
23306,SUNSTONE PROPERTY S.A.,Switzerland,2
23307,Golden Bridge Services Ltd.,Liechtenstein,2
23308,LINETEX CORP,Saint Kitts and Nevis,1
23309,PRISM INVESTMENTS SERVICES CORP.,Switzerland,1
23310,POYNTON INVESTMENT CORP.,Switzerland,1
23311,RIGHT CONSULTING INC.,Seychelles,2
23312,LIATRIS TRADING S.A.,Luxembourg,4
23313,DELL HOLDINGS LIMITED,Switzerland,2
23314,RINGO INTERNATIONAL LTD.,Samoa,15
23315,ANSONIA MANAGEMENT GROUP S.A.,Panama,4
23316,CARDINA GLOBAL LIMITED,Singapore,1
23317,KELSALL GMBH,Switzerland,1
23318,OPTIMA INVESTMENTS LTD.,United Arab Emirates,4
23319,Dragmire Trading Ltd.,Uruguay,4
23320,MILLAU INC.,Panama,1
23321,BRIDGE ENTERPRISES INC.,Switzerland,1
23322,DANESTAR INTERNATIONAL LIMITED,Jersey,1
23323,ENGLOBE LTD.,Samoa,14
23324,CAARINA CONTINENTAL S.A.,Guernsey,1
23325,RANGEWORTH LIMITED,Luxembourg,2
23326,TERRY PROPERTIES LTD,Mauritius,2
23327,RENSEL OVERSEAS LIMITED,Switzerland,1
23328,AMOEBA TECH CORPORATION,Hong Kong,1
23329,BLICK LIMITED,Switzerland,1
23330,RED & WHITE GROUP INC.,Switzerland,1
23331,SILVERWING PROPERTIES S.A.,United Kingdom,1
23332,DASA IMPORT-EXPORT GMBH,Andorra,1
23333,HYPERSONIC LTD.,Switzerland,20
23334,WEST VIEW INTERNATIONAL LIMITED,Uruguay,4
23335,CYBERWAVES LTD.,Isle of Man,1
23336,BROOKWAY HOLDINGS INC.,Portugal,4
23337,EARLSFORT EQUITIES INC.,Switzerland,1
23338,UNISTONE INTERNATIONAL S.A.,Switzerland,1
23339,MONTDALE INC.,Switzerland,2
23340,TARGO GROUP LTD.,Switzerland,4
23341,SCORPIO RESOURCES LIMITED,Liechtenstein,1
23342,HAVANA INVESTMENTS LIMITED,Jersey,1
23343,BERCHAR PROPERTIES LIMITED,Jersey,1
23344,HARAS LTD.,Switzerland,3
23345,LIMELIGHT CONSULTANCY SERVICES LIMITED,United Kingdom,2
23346,"M.R.M. INVEST, INC.",Russia,1
23347,C.T.C. DEVELOPMENT CORP.,Switzerland,1
23348,SOPRA OVERSEAS HOLDING S.A.,Switzerland,1
23349,ASIA GLOBAL COMPANY LIMITED,Hong Kong,1
23350,STAR TECHNICAL SUPPLY CORP.,Panama,2
23351,THESEUS OVERSEAS S.A.,Switzerland,1
23352,MORRISON & ZANT FINANCE LTD.,Samoa,2
23353,SHI COSTA RICA HOLDINGS CORP.,Costa Rica,4
23354,ADDISCOMBE REAL ESTATES S.A.,United Arab Emirates,1
23355,VANDERPLANK EQUITIES S.A.,Switzerland,1
23356,MAXCO ENTERPRISES LTD.,Hong Kong,2
23357,RICHOCHET OUTSOURCE WEB SERVICES LIMITED,Guernsey,1
23358,DYON CORPORATION INC.,Isle of Man,1
23359,ELAWOOD GROUP LTD.,Switzerland,2
23360,ZOUZOU LTD.,Switzerland,2
23361,ACTIVE GROUP LTD.,Hong Kong,2
23362,ACRIMA LTD.,Switzerland,2
23363,SORIMAT INTERNATIONAL LIMITED,Switzerland,6
23364,TOVERICK TRADING S.A.,Switzerland,1
23365,STEPCO HOLDING S.A.,Switzerland,1
23366,KALYWARD GROUP LTD.,Luxembourg,1
23367,SUNCELL MANAGEMENT SERVICES LIMITED,Guernsey,1
23368,LCI REAL ESTATE LIMITED,Switzerland,2
23369,APOLLON TRADING INC.,Russia,1
23370,SERENE LIMITED,Gibraltar,1
23371,NARTUK LTD.,Switzerland,2
23372,GLORY MARK LIMITED,Hong Kong,1
23373,BALSEY MANAGEMENT CORP.,Switzerland,2
23374,VADIN SERVICES S.A.,Venezuela,2
23375,LAVENDER SKY LIMITED,Luxembourg,2
23376,SPRINGWAY INTERNATIONAL LIMITED,Switzerland,2
23377,BACKA LIMITED,Switzerland,2
23378,"MKC, INC.",Canada,1
23379,GREENVALE HOLDINGS LIMITED,Mauritius,2
23380,LEOINA INVESTMENT CORP.,Switzerland,2
23381,CASTLEMEWS INTERNATIONAL LIMITED,Switzerland,1
23382,UNIVAL LIMITED,Switzerland,1
23383,WOLF'S MOUNTAIN INC.,United States,2
23384,FENIX CONSULTING INC.,Samoa,10
23385,GLOBAL SATELLITE NETWORK CORP.,Samoa,1
23386,TRIEST OVERSEAS S.A.,Switzerland,1
23387,HALOYIN CORPORATION,Switzerland,1
23388,LEXINGTON ASSOCIATES LIMITED,Switzerland,2
23389,SAVILE INVESTMENTS INC.,Colombia,1
23390,AROSA INTERNATIONAL LTD.,Switzerland,1
23391,CAIRNHILL INTERNATIONAL LIMITED,Jersey,2
23392,SUNCELL FOREST PRODUCTS LIMITED,Guernsey,3
23393,TRUE CORP,Russia,2
23394,TRADFIN INTERNATIONAL LTD.,Switzerland,1
23395,ZAO UKR TRANSIT SERVICE CORP.,United Arab Emirates,1
23396,STRATHVIEW LIMITED,Jersey,1
23397,ASTOR TRADING LIMITED,Switzerland,2
23398,BATON LIMITED,Isle of Man,1
23399,BAGUERA HOLDINGS LIMITED,Switzerland,1
23400,BARDEN INTERNATIONAL LTD.,Spain,1
23401,MALIK S.A.,Panama,1
23402,CUNNINGSHILL LTD.,Spain,1
23403,MORGAN CONTINENTAL LIMITED,Switzerland,2
23404,N L F INC.,Switzerland,3
23405,OLEASTER INTERNATIONAL LTD.,Switzerland,4
23406,PROTECTA INVESTMENTS S.A.- ex - PROTECTA INVESTMENTS S.L.,Switzerland,1
23407,GLENFON MANAGEMENT COMPANY INC.,Switzerland,2
23408,DISCOVERY TECHNOLOGIES LIMITED,Russia,1
23409,KURANDA LTD.,Switzerland,1
23410,AT & J INTERNATIONAL LIMITED,United Kingdom,1
23411,VIANCO INTERNATIONAL CORP.,Switzerland,1
23412,F T F CORP.,Switzerland,3
23413,CIUDADELLA S.A.,Switzerland,1
23414,CAMPBELL MANAGEMENT INC,United Kingdom,2
23415,TRUSBAN OVERSEAS LTD.,Bahamas,4
23416,GREENFORD MANAGEMENT CORPORATION,Switzerland,5
23417,LA TANIA S.A.,Switzerland,2
23418,RClub LTD.,Switzerland,2
23419,MONTAGUE INTERNATIONAL LTD.,Luxembourg,4
23420,MAYER TRADING S.A.,Russia,2
23421,MAVINGA LIMITED,Mauritius,1
23422,GANTON S.A. - ex -GANTON SECURITIES S.A.,Switzerland,1
23423,HUGO INVESTMENTS INTERNATIONAL S.A.,Luxembourg,18
23424,EMRAL HOLDINGS LIMITED,Guernsey,1
23425,PARKLAND LIMITED,Switzerland,1
23426,ONE LIMITED,Guernsey,1
23427,DORNELL LIMITED,Uruguay,1
23428,EXWISER INC.,Russia,8
23429,MEDOLAGO LTD.,Switzerland,1
23430,BLUE STONE FINANCIAL CORP.,Brazil,3
23431,SELENE LTD.,Spain,1
23432,"GENTIAN, LTD.",Spain,3
23433,HABECK LIMITED,Guernsey,1
23434,ELVIN INVESTMENTS LIMITED,Switzerland,2
23435,ROUEN INVESTMENT S.A.,Uruguay,4
23436,MATRIX BUSINESS LTD.,Italy,4
23437,VANITY LTD.,Italy,1
23438,FERDINAND LTD.,Italy,1
23439,PRESTWOOD INTERNATIONAL LTD.,Liechtenstein,1
23440,TEXA S.A. - ex - TEXA S.À.R.L.,Switzerland,1
23441,Sino Dragon Management Limited,Hong Kong,4
23442,SANTORINI GROUP LTD.,Samoa,2
23443,BEST WORLD INVESTMENTS LIMITED,Hong Kong,3
23444,CREATIVE HOLDING CORP,Paraguay,4
23445,WESTFORD HOLDINGS INC.,Uruguay,2
23446,TANTE ELE INC.,Uruguay,2
23447,DUNNINGTON PROPERTIES LIMITED,Switzerland,5
23448,FOURLEAF FINANCIAL LTD.,Uruguay,2
23449,APPLEWOOD HOLDINGS LTD,British Virgin Islands,2
23450,DENVILLE CONSULTING INC.,Uruguay,2
23451,VALMET FINANCE LIMITED,Jordan,1
23452,SEAL INVESTMENTS CORP.,Switzerland,1
23453,WD HOLDINGS LIMITED,Malta,1
23454,OAO LIMITED,Jersey,1
23455,DREMIL INVESTMENT HOLDINGS LIMITED,Guernsey,1
23456,WINDRUSH ENTERPRISES LIMITED,Jersey,2
23457,EVE INVESTMENTS LIMITED,Switzerland,10
23458,FOSTEN LTD.,Switzerland,1
23459,K & P INVESTMENTS LTD.,Russia,2
23460,ANDARD GROUP S.A.,Russia,6
23461,SEMPER SWISS INC,United Kingdom,1
23462,SALT LAKE ENTERPRISES INC.,Uruguay,1
23463,RANGER HOLDINGS LTD,Uruguay,2
23464,VELMISS LIMITED,Guatemala,2
23465,MEDCARE INTERNATIONAL LIMITED,Liechtenstein,1
23466,CHATERELLA HOLDINGS LIMITED,Uruguay,3
23467,SOFT DRINK TECHNOLOGY INC.,Switzerland,2
23468,DERBY TRADING AND INVESTMENT LIMITED,Guernsey,3
23469,JAGUAR CAPITAL LIMITED,Switzerland,2
23470,TEMPURA HOLDINGS LTD.,Samoa,1
23471,CALCORP INC.,Uruguay,1
23472,EAST VIEW PROPERTIES LIMITED,Jersey,2
23473,SONSTET TRADING CORP.,Switzerland,1
23474,RANGUI INVESTMENTS LTD.,Switzerland,1
23475,BENMORE CAPITAL LTD.,Bahamas,2
23476,KARSTADT WERKE GmbH,Russia,1
23477,PIERRE DUPONT S.A.,Russia,1
23478,FUTURA MANAGEMENT CORPORATION,Switzerland,1
23479,TORWEST INVESTMENTS LIMITED,Switzerland,1
23480,HURSTFIELD HOLDINGS ASSET INC.,,1
23481,ZEUS TRADING S.A.,Monaco,2
23482,AURORA EQUITIES INC.,Switzerland,1
23483,BARETA HOLDING INC.,Switzerland,1
23484,GENETICS ASIA GROUP LTD.,Hong Kong,2
23485,Carlisle Estates Group Limited,Lebanon,2
23486,"Benchmark Power International, S.A.",Switzerland,1
23487,CHATO MARITIME S.A.,Luxembourg,2
23488,AMENO LIMITED,Luxembourg,2
23489,GEYSIR INDUSTRIES LTD.,Panama,1
23490,WEMINO LIMITED,Panama,1
23491,OLYMPIC ASSOCIATES CAPITAL INC.,Switzerland,1
23492,GARVE INVESTMENTS MANAGEMENT INC.,Switzerland,1
23493,MARNELL GROUP LIMITED,Uzbekistan,1
23494,ORYKA INC.,Argentina,2
23495,NORWOOD MANAGEMENT INC.,Switzerland,1
23496,AKBAR CAPITAL LIMITED,Switzerland,2
23497,SOLID BUSINESS LTD.,Uruguay,1
23498,MILLENNIUM CAPITAL LIMITED,Switzerland,1
23499,STARVILLE FINANCE INCORPORATED,Switzerland,1
23500,ABDO INTERNATIONAL CORP.,Bahamas,1
23501,PALETTI DEVELOPMENT S.A.,Luxembourg,2
23502,NATRAL INVESTMENTS GROUP CORP.,Panama,2
23503,SATINA HOLDING LTD.,United Kingdom,1
23504,LAWRENCE TRADING EQUITIES S.A.,Switzerland,1
23505,CYGNUS HOLDINGS ASSETS LTD.,Luxembourg,2
23506,EVERIDGE FINANCE ASSETS LTD.,Bahamas,4
23507,HUGHES INVESTMENTS MANAGEMENT CORPORATION,Switzerland,1
23508,POLYCHEM GROUP LTD.,Bahamas,2
23509,GARVE INVESTMENTS CONSULTANCY INC.,Switzerland,1
23510,ANCHORAGE GROUP ASSETS LIMITED,Switzerland,1
23511,SALUKI LIMITED,British Virgin Islands,1
23512,HICKORY SECURITIES LTD.,Uruguay,5
23513,DAVENPORT CONSULTING MARKETING CORP.,Switzerland,1
23514,LAUDERDALE HOLDINGS MANAGEMENT S.A.,Switzerland,1
23515,VICTOS INVEST LTD.,Luxembourg,2
23516,PLASCOT CORPORATION,Switzerland,1
23517,HERMITAGE INTERNATIONAL HOLDINGS INC,Switzerland,1
23518,PENNINGS EQUITIES INC.,Luxembourg,2
23519,KENNON MANAGEMENT CAPITAL LIMITED,Liechtenstein,1
23520,STATEN PROPERTIES HOLDINGS CORP.,Switzerland,1
23521,PALMER REAL ESTATE INC.,Dominican Republic,10
23522,JUNIPER PROPERTY HOLDINGS INC.,Switzerland,2
23523,GALENA MANAGEMENT SERVICES INC.,Switzerland,1
23524,MULLIGAN LIMITED,United Arab Emirates,1
23525,RESPONSE PROFESSIONAL MANAGERS LIMITED,United Kingdom,1
23526,STARGATE HOLDINGS LIMITED,Hong Kong,1
23527,CHESTER INVESTMENTS ASSETS LTD.,Bahamas,4
23528,WINDERMERE ASSOCIATES LTD.,Switzerland,1
23529,GRYSEL PORTFOLIO LIMITED,Switzerland,1
23530,KERLI FINANCE CORP.,Uruguay,5
23531,ELEVEN PARK PALACE LIMITED,Monaco,1
23532,MIAMI REALTY CORPORATION,United States,1
23533,ODESSA REAL ESTATES INC.,Switzerland,1
23534,QM CONSULTING GROUP INC.,Monaco,2
23535,MYRANDO GROUP CORPORATION,Switzerland,1
23536,FUTURE PRODUCTS GROUP S.A.,Switzerland,1
23537,SHEESHON COMPANY LTD.,Switzerland,2
23538,SALTERELLI ESTATES LIMITED,Czech Republic,1
23539,JUNIPER PROPERTY HOLDINGS SERVICES S.A.,Switzerland,1
23540,PALK OVERSEAS LTD.,Switzerland,2
23541,PALLET INVESTMENTS LTD.,Switzerland,2
23542,GUARDIAN ALLIANCE LTD.,Switzerland,1
23543,MOBILE BUSINESS INC.,Bahamas,1
23544,LAMBURNE CORPORATION,Switzerland,1
23545,SERENA COMMUNICATIONS INC.,Lebanon,3
23546,LOMZA CAPITAL CORP.,Russia,1
23547,MAYA ALLIANCE INC.,Panama,2
23548,MOULTON INTERNATIONAL LTD.,Uruguay,1
23549,ZELDA INVESTMENTS HOLDINGS S.A.,Switzerland,1
23550,CHALMERS DEVELOPMENT LIMITED,Switzerland,1
23551,BAROMETER FINANCE LTD.,Switzerland,2
23552,PARIA COMPANY LIMITED,Liechtenstein,1
23553,HORSESHOE BAY LIMITED,Bahamas,1
23554,AKRON INTERNATIONAL GROUP S.A.,Switzerland,1
23555,FOX INVEST INC.,Switzerland,1
23556,ROPNER LTD.,Switzerland,3
23557,TORDEL REAL ESTATE INC.,Switzerland,1
23558,MARYROSE INTERNATIONAL LIMITED,Guernsey,2
23559,VERVE CHARTERING LTD.,Switzerland,4
23560,TITUSVILLE INTERNATIONAL INC.,Switzerland,1
23561,CORNERSTONE INVESTMENTS LIMITED,United Arab Emirates,2
23562,LOMBARD HOLDINGS LTD.,Belize,2
23563,GLOBAL ESTATE AGENCY CORP.,Switzerland,2
23564,RAIMES MANAGEMENT CORP.,British Virgin Islands,1
23565,DILLON OVERSEAS ASSETS CORP.,Switzerland,1
23566,SETEL INTERNATIONAL LTD.,Switzerland,2
23567,LIFEX COMPANY INC.,Luxembourg,2
23568,BADA INVESTMENTS LIMITED,Jersey,1
23569,LYNDHURST CONSULTANCY LIMITED,Switzerland,1
23570,GLENROSA LIMITED,United Kingdom,10
23571,LEATHER TRADING CORP.,Bahamas,2
23572,LAVERAN INVESTING CORP.,Russia,1
23573,UPPER SIDE LTD.,United Kingdom,1
23574,P THIRTY SIX INC.,Guernsey,1
23575,AGW-IMMOBILIER S.A.,Sweden,2
23576,BARRY CO. S.A.,Switzerland,1
23577,ZELIG TRADING INC.,Switzerland,1
23578,KONNEX INTERNATIONAL CORP.,Switzerland,1
23579,ELRUM INC.,Hong Kong,2
23580,MATINSOL MANAGEMENT INC.,Switzerland,1
23581,SIBUR TRADING HOUSE LTD.,Switzerland,1
23582,CYNDAR MANAGEMENT LTD.,Switzerland,1
23583,SCOPE INTERNATIONAL HOLDINGS CORP.,Switzerland,1
23584,IMONA INC.,Luxembourg,10
23585,PLUS DESIGN TEXTILES AGENCY LIMITED,Ireland,1
23586,CHELSEA INVESTMENTS CORPORATE LTD.,Switzerland,1
23587,JAKO COMMERCIAL LIMITED,Luxembourg,2
23588,DECANTER ENGINEERING S.A.,Switzerland,1
23589,LORDENGRACE ENTERPRISES LTD.,Samoa,10
23590,TALMAY TRADING INC.,Switzerland,4
23591,REHBAND PROMOTION INC.,Russia,5
23592,ROCKFORD TRADING GROUP LTD.,Switzerland,1
23593,FLORA HOLDINGS INC.,Luxembourg,6
23594,PLEAMAR LTD.,Switzerland,1
23595,GALANA LIMITED,Luxembourg,2
23596,PREMIUM DRINKS INVESTMENTS LTD.,Luxembourg,4
23597,DIACORE MARKETING INC. [SDG MARKETING INC.,Switzerland,1
23598,MERRILLAN LIMITED,Switzerland,1
23599,T&T CONSULTING INC.,Panama,2
23600,QUICK ASSOCIATES S.A.,Switzerland,2
23601,RIVERTON ENTERPRISES LIMITED,Jersey,1
23602,EXOTRAD INCORPORATED,Switzerland,2
23603,SAFFERTON ASSOCIATES INC.,Switzerland,1
23604,TALAM PROPERTIES LIMITED,Switzerland,1
23605,GE.I.AR. INTERNATIONAL LTD.,Italy,1
23606,WEST AFRICA CARGO SERVICES INC.,Netherlands,2
23607,LANSIDE PARTNERS LIMITED,Switzerland,4
23608,IBIS HOLDINGS LIMITED,Guernsey,1
23609,EVERINA FINANCE LIMITED,Switzerland,1
23610,ELANORE ENGINEERING INC.,Luxembourg,2
23611,MALBONO CORPORATION,Liechtenstein,1
23612,OMMINVEST LIMITED,Switzerland,1
23613,RODEO MARKETING LIMITED,Switzerland,1
23614,PANTERO VENTURE CORP.,Luxembourg,12
23615,SANDWICK TRADING INC.,Bahamas,1
23616,PUGET HOLDINGS LTD.,Russia,1
23617,LANTERN PORTFOLIO CORP.,Switzerland,1
23618,UNITED RESEARCH GROUP S.A.,Switzerland,4
23619,TOTEM CONSULTANTS LIMITED,Switzerland,1
23620,PROVINCIAL TRADING LTD.,Israel,1
23621,HILLOWS BLDG INVESTMENTS LTD.,Switzerland,1
23622,HALIAN INTERNATIONAL S.A.,Switzerland,1
23623,MALTEX HOLDINGS LIMITED,Switzerland,2
23624,STRUTFORD REAL ESTATE S.A.,Switzerland,1
23625,DRY PLAINS HOLDING GROUP LTD.,Switzerland,2
23626,Mines & More Ltd.,Switzerland,2
23627,CONCERTO GLOBAL LTD.,Singapore,1
23628,SINGLETON ASSETS GROUP LTD.,Switzerland,1
23629,OVERBURY CAPITAL INC.,Panama,5
23630,SANDSTONE PROPERTIES ESTATE LTD.,Switzerland,1
23631,WESTBURNE OIL HOLDINGS LIMITED,Guernsey,1
23632,ORSTON PROPERTIES S.A.,Monaco,1
23633,GLOBAL TOP TOUCH LTD.,Samoa,4
23634,ALINVEST INC.,Switzerland,1
23635,KTR LIMITED,Switzerland,1
23636,ZIMMERMAN INVESTMENTS CORP.,Switzerland,1
23637,SECUROTECH TRADING LIMITED,Switzerland,1
23638,KARA PROMOTION INC.,Panama,2
23639,SOUTH RESOURCES LIMITED  - -,Switzerland,1
23640,BV HOLDINGS FINANCE INC.,Switzerland,1
23641,PARITET INVESTMENTS INC.,Switzerland,1
23642,ROSCO SERVICES LTD.,Switzerland,3
23643,LITTRELL CORPORATION,Monaco,1
23644,STAINWAY FINANCIAL SERVICES S.A.,Switzerland,1
23645,HI-TECH RESEARCH & MARKETING LIMITED,Hong Kong,2
23646,AGART HOLDINGS INC.,Switzerland,1
23647,LAJAN PROPERTIES INC.,Bahamas,1
23648,WALTON ASSET MANAGEMENT S.A.,Switzerland,2
23649,TRAFFIC TRADE INC.,Panama,2
23650,CARRUTHERS INVESTMENT CO. INC.,Guernsey,1
23651,BRIGHT BAY EQUITIES LIMITED,Switzerland,1
23652,YMJ LIMITED,Switzerland,1
23653,IMEX HOLDINGS LTD.,Uruguay,2
23654,LEBRON INVESTORS LTD.,Switzerland,1
23655,PRIMUS TRADING COMPANY LIMITED,Switzerland,2
23656,VISCOUNT ASSET MANAGEMENT LTD.,Switzerland,2
23657,ATTUA GROUP LTD.,Bahamas,1
23658,LIONESS TRADING INDUSTRIES S.A.,Switzerland,1
23659,ALTAIR CONSULTANTS LTD.,Switzerland,1
23660,FINANCIAL TRADE CITY LTD.,Guatemala,1
23661,FPEJ Investments Limited,Switzerland,1
23662,YVER MANAGEMENT CORP.,Switzerland,1
23663,VITAL INVESTMENTS ASSOCIATES S.A.,Switzerland,1
23664,MARKWELL FINANCE LTD.,Switzerland,1
23665,MAYS HILL LIMITED,Isle of Man,1
23666,GINCLO LTD.,Bahamas,1
23667,QUEENS & PARTNERS LTD.,Luxembourg,2
23668,HALPERTON CAPITAL INC.,Gibraltar,1
23669,NOVATOR INTERNATIONAL HOLDINGS LTD.,Luxembourg,2
23670,NOVATOR ASSET MANAGEMENT LTD. [LI ASSET MANAGEMENT HOLDINGS LTD.,Luxembourg,2
23671,MELENI INVEST S.A.,Guatemala,10
23672,BINTON MANAGEMENT CONSULTANTS LTD.,Switzerland,1
23673,LILLIEN INTERNATIONAL FINANCE LTD.,Bahamas,1
23674,MOLLOY INVESTMENTS GROUP INC.,Monaco,1
23675,DARFIELD MANAGEMENT S.A.,Jersey,2
23676,EXOIL TRADE LTD.,Switzerland,1
23677,SOUTHPORT MANAGEMENT SERVICES LIMITED,Liechtenstein,2
23678,ANNICA YACHT HOLDINGS S.A.,Panama,1
23679,FIRE FIGHTING TRAINING INTERNATIONAL LTD.,Spain,4
23680,METALLURGY & CHEMISTRY TECHNOLOGY LIMITED,Switzerland,2
23681,APSARA ENTERPRISE LIMITED,Switzerland,2
23682,NISCO INTERNATIONAL GROUP S.A.,Switzerland,2
23683,PEEL ENGINEERING LIMITED,Spain,1
23684,BAY TIDE RESORT LIMITED,Costa Rica,4
23685,CARTGLEN GROUP LTD.,Switzerland,1
23686,SUGAR LOAF INTERNATIONAL INC.,Brazil,4
23687,LEVERETT LIMITED,Luxembourg,3
23688,HILLTOWN BUSINESS GROUP LTD.,Switzerland,1
23689,BRILETON FINANCE LTD.,Switzerland,3
23690,KEDGE FINANCE LTD.,Switzerland,8
23691,EMPLOYEE SOLUTIONS LIMITED,Switzerland,2
23692,QUARENDON MANAGEMENT CORP.,Bahamas,1
23693,NORYS CAPITAL LTD.,Luxembourg,5
23694,GARMENTS LIMITED,Switzerland,1
23695,SUNSHINE GROUP ASSETS LTD.,Switzerland,1
23696,TAGMAN & CIE INC.,Switzerland,2
23697,TERIA HOLDINGS LIMITED,Panama,1
23698,BATAC TRADING GROUP LTD.,Switzerland,2
23699,EVIA TOURISM TRAVEL S.A.,Switzerland,1
23700,APHRODITE INVESTMENTS LIMITED,Switzerland,1
23701,MEDIA ON-AIR T.V. LTD.,Switzerland,1
23702,FLYING FISH FINANCE CORP.,Switzerland,1
23703,COLUMIA REH LIMITED,Switzerland,1
23704,NAVEDO EQUITIES INC.,Switzerland,1
23705,NEO FINANCE LTD.,Monaco,1
23706,CASTELLO HOLDINGS GROUP CORP.,Switzerland,1
23707,B.F. WORLDWIDE CORP.,Luxembourg,2
23708,OCEAN STREAM INVESTMENTS LIMITED,Switzerland,2
23709,JUNIOR FINANCE LTD.,Switzerland,1
23710,PRESTONIA CORP.,Switzerland,4
23711,GELLING MARKETING LIMITED,Bahamas,1
23712,HILLSBORO TRADING CORP.,Bahamas,2
23713,BAILBROOK INTERNATIONAL GROUP S.A.,Switzerland,1
23714,ZANGAR INVESTMENTS INC.,Switzerland,1
23715,MERCOS TRADE LTD.,Switzerland,1
23716,GALBRAITH ENGINEERING LTD.,Switzerland,1
23717,HACKWOOD CAPITAL MANAGEMENT INC.,Switzerland,1
23718,FINANVEST LIMITED,Switzerland,3
23719,IDC-COMSTOCK LTD.,Switzerland,2
23720,PROLIX EQUITIES CORPORATION,Switzerland,1
23721,QUINLAN ASSOCIATES LTD.,Switzerland,1
23722,PRIME INTERNATIONAL CAPITAL S.A.,Monaco,1
23723,BAILING CONSULTANTS LIMITED,Switzerland,1
23724,BIANTER CORPORATION,Switzerland,2
23725,HILLGROVE INVESTMENTS GROUP LTD.,Switzerland,1
23726,WORLD COFFEE TRADING S.A.,Switzerland,1
23727,THRILL BAY INVESTMENTS LTD.,Switzerland,1
23728,SOUTHERLY ASSET MANAGEMENT INC.,Switzerland,1
23729,DULMUIR COMMERCIAL SERVICES LIMITED,Liechtenstein,2
23730,YERKEY INTERNATIONAL INC.,Switzerland,2
23731,EASKING GROUP LTD.,Hong Kong,2
23732,ANGLOHAVEN INTERNATIONAL LTD.,Switzerland,2
23733,ELITER ASSET MANAGEMENT CORP.,Switzerland,1
23734,MARIN ASSETS CORP.,Luxembourg,2
23735,MME HOLDING CORP.,Switzerland,2
23736,VELDEX INTERNATIONAL LTD.,Cyprus,2
23737,JASMIFLOX CORP.,Switzerland,1
23738,MOTORSPORT SERVICES LIMITED,Monaco,2
23739,CILAG COMPANY INC.,Switzerland,1
23740,JENKS FINANCIAL SERVICES LTD.,Switzerland,1
23741,MACHEN JEWELLERS LTD,Switzerland,1
23742,GUILFORD MANAGEMENT LIMITED,Gibraltar,1
23743,AVUELOS LTD.,Switzerland,2
